flag,xl,yl,zl,xr,yr,zr,xc,yc,zc,mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,ray_x,ray_y,ray_z,eye_x,eye_y,eye_z,time,frame
0,-6.070773,0.762078,9.161401,-6.27286,0.8616454,9.153315,-6.19993,0.8372709,9.12894,0.8706443,0.3333209,-0.3617674,0,-0.1395126,0.8725491,0.4681821,0,-0.4717147,0.3571489,-0.8061823,0,10.15518,-1.995367,3.517266,1,0.8706442,-0.1395126,-0.4717147,0,0.3333209,0.872549,0.3571489,0,-0.3617674,0.468182,-0.8061823,0,-6.904022,1.511111,8.33855,1,0.9742909,0.9629416,0.2651317,-0.05201183,0.9628084,-0.004612656,-0.00451944,-0.02292626,53.66,2432
0,-5.977036,0.7044001,9.027537,-6.113964,0.7044001,9.048592,-6.046228,0.7044001,9.037913,0.8364111,0.3773918,-0.3974819,0,-0.1371857,0.8462577,0.5148087,0,-0.5306567,0.3760628,-0.7595921,0,10.40256,-1.807311,2.821946,1,0.8364111,-0.1371857,-0.5306568,0,0.3773919,0.8462578,0.3760629,0,-0.3974819,0.5148087,-0.7595922,0,-6.897077,1.503771,8.343378,1,0.9500067,0.9264176,0.3313641,-0.06519461,0.9412478,-0.004985176,-0.004120857,-0.02296056,53.68,2433
0,-6.029628,0.7289747,8.950297,-6.112617,0.7044001,9.060709,-6.0574,0.7044001,9.015443,0.801633,0.418299,-0.4270954,0,-0.1313993,0.8202422,0.5567198,0,-0.583197,0.390165,-0.7124974,0,10.58855,-1.603248,2.171641,1,0.801633,-0.1313993,-0.583197,0,0.418299,0.8202422,0.390165,0,-0.4270954,0.5567198,-0.7124974,0,-6.889997,1.497384,8.34803,1,1,1,0.2861892,-0.02816672,0.957759,-0.004682373,-0.003666458,-0.02281545,53.7,2434
0,-5.977561,0.7044001,9.011961,-6.070773,0.6510349,9.126823,-6.051103,0.7044001,9.045549,0.7723622,0.4482067,-0.4500749,0,-0.1244846,0.8016462,0.584694,0,-0.6228645,0.3955681,-0.674956,0,10.70441,-1.415496,1.667363,1,0.7723622,-0.1244846,-0.6228645,0,0.4482067,0.8016461,0.3955681,0,-0.4500748,0.5846938,-0.674956,0,-6.882805,1.492364,8.352716,1,1,1,0.2299411,0.01351543,0.9731107,-0.00425361,-0.003238236,-0.02269035,53.72,2435
0,-5.84771,0.7044001,9.036137,-6.070773,0.6798617,9.179852,-6.032755,0.7560076,9.047676,0.7492853,0.4678005,-0.4687582,0,-0.1166732,0.7900057,0.6018957,0,-0.6518887,0.3963001,-0.6465194,0,10.77359,-1.272264,1.284866,1,0.7492854,-0.1166732,-0.6518887,0,0.4678005,0.7900057,0.3963001,0,-0.4687582,0.6018957,-0.6465194,0,-6.875033,1.488728,8.358068,1,1,1,0.202758,0.06839655,0.9768373,-0.003468086,-0.002796158,-0.02157916,53.74,2436
0,-6.045393,0.7700647,9.061733,-6.187656,0.7991498,9.090818,-6.070773,0.7406805,9.120957,0.7239928,0.4884254,-0.4871089,0,-0.1051304,0.7760303,0.6218718,0,-0.6817493,0.3990208,-0.6131887,0,10.82808,-1.137987,0.8637731,1,0.7239928,-0.1051303,-0.6817493,0,0.4884255,0.7760303,0.3990207,0,-0.4871089,0.6218719,-0.6131887,0,-6.862882,1.484316,8.365775,1,1,1,0.1037588,0.08395419,0.9910529,-0.002865616,-0.001884133,-0.02279595,53.78,2437
0,-6.070773,0.7747275,9.076549,-6.198226,0.8212087,9.112878,-6.070773,0.7367947,9.15982,0.710071,0.5039334,-0.4917829,0,-0.1013789,0.7643164,0.6368223,0,-0.6967938,0.4023326,-0.5938071,0,10.85013,-1.046214,0.6553514,1,0.7100709,-0.1013789,-0.6967937,0,0.5039334,0.7643164,0.4023327,0,-0.4917829,0.6368224,-0.5938071,0,-6.854852,1.48227,8.370384,1,1,1,0.06238734,0.1062952,0.9923754,-0.002758157,-0.001884155,-0.02315431,53.8,2438
0,-6.070773,0.7832693,9.143698,-6.211191,0.8448423,9.136511,-6.070773,0.7467345,9.217236,0.6968483,0.5192407,-0.4947642,0,-0.101993,0.7545688,0.6482464,0,-0.7099295,0.4012669,-0.5787789,0,10.86786,-0.9230735,0.4997497,1,0.6968483,-0.1019931,-0.7099295,0,0.5192407,0.7545688,0.4012668,0,-0.4947642,0.6482465,-0.5787788,0,-6.846693,1.481007,8.375056,1,1,1,0.01464006,0.136497,0.9905323,-0.002550475,-0.002039086,-0.02281661,53.82,2439
0,-6.070773,0.7769397,9.170433,-6.21502,0.8692607,9.16093,-6.070773,0.7544958,9.248616,0.6859368,0.5313033,-0.4971998,0,-0.1079714,0.750036,0.6525245,0,-0.7196062,0.3939072,-0.5718428,0,10.8806,-0.7782018,0.4261432,1,0.6859366,-0.1079713,-0.7196061,0,0.5313032,0.7500359,0.3939072,0,-0.4971997,0.6525245,-0.5718428,0,-6.83806,1.480403,8.37997,1,1,1,-0.01292084,0.1490989,0.9887378,-0.002430229,-0.001932388,-0.02282587,53.84,2440
0,-6.070773,0.7833007,9.171293,-6.206621,0.873789,9.165458,-6.070773,0.7646511,9.246371,0.680676,0.5363278,-0.4990317,0,-0.1111515,0.7489154,0.6532772,0,-0.7241032,0.3892021,-0.5693824,0,10.88566,-0.7057979,0.395673,1,0.680676,-0.1111515,-0.7241032,0,0.5363278,0.7489154,0.389202,0,-0.4990316,0.6532773,-0.5693824,0,-6.833614,1.480055,8.382328,1,1,1,-0.01772115,0.1533803,0.9880083,-0.002446809,-0.001928955,-0.02284311,53.86,2441
